epoch,acc_train,macro_f1_train,acc_val,macro_f1_val
1,0.586034,0.590662,0.584023,0.587653
2,0.613247,0.616754,0.605747,0.608300
3,0.619124,0.624138,0.616322,0.620959
4,0.626494,0.636431,0.624023,0.632692
5,0.632500,0.638677,0.623103,0.628704
6,0.645043,0.652288,0.638276,0.644561
7,0.646336,0.657435,0.638621,0.648628
8,0.640805,0.652315,0.626552,0.637815
9,0.652284,0.661038,0.640000,0.647664
10,0.652241,0.661265,0.641609,0.649455
11,0.660718,0.666387,0.650345,0.656179
12,0.656509,0.664626,0.645862,0.653654
13,0.665057,0.674223,0.652299,0.660702
14,0.668319,0.676903,0.653218,0.661099
15,0.675704,0.680965,0.659080,0.663727
16,0.671767,0.677327,0.659425,0.665141
17,0.678463,0.683408,0.664483,0.668679
18,0.678578,0.684882,0.667701,0.674615
19,0.676408,0.681837,0.660920,0.666863
20,0.680072,0.685568,0.673563,0.678934
21,0.680445,0.685674,0.669655,0.675238
22,0.681997,0.687272,0.671149,0.676272
23,0.682371,0.687873,0.668621,0.674158
24,0.687112,0.691990,0.672529,0.677063
25,0.689741,0.693941,0.676667,0.680633
26,0.693305,0.696725,0.679770,0.683410
27,0.691638,0.695888,0.681034,0.685402
28,0.695072,0.699790,0.682874,0.687679
29,0.697313,0.701037,0.683103,0.686830
30,0.699353,0.703144,0.685977,0.690001
31,0.697945,0.702911,0.688506,0.693362
32,0.698951,0.702727,0.683218,0.686801
33,0.700445,0.704244,0.691494,0.695207
34,0.702184,0.705315,0.688046,0.691232
35,0.705057,0.707957,0.694483,0.697333
36,0.706164,0.709744,0.694368,0.697843
37,0.705043,0.708473,0.691264,0.694449
38,0.710072,0.712262,0.696782,0.699107
39,0.707658,0.711848,0.696092,0.699984
40,0.706351,0.709636,0.697241,0.700380
41,0.710546,0.713561,0.693908,0.697134
42,0.711049,0.713560,0.699655,0.702167
43,0.712787,0.715833,0.702874,0.706133
44,0.710963,0.713016,0.699540,0.701427
45,0.715532,0.717565,0.702529,0.704298
46,0.714670,0.717196,0.704483,0.707362
47,0.716193,0.718646,0.702069,0.704398
48,0.715963,0.719098,0.703678,0.706717
49,0.716193,0.717936,0.703678,0.704986
50,0.715575,0.718266,0.703448,0.706520
