2025-10-26 19:55:15 INFO - Dataset sizes: train=8700, val=8700, test=28
2025-10-26 20:09:58 INFO - Dataset sizes: train=78300, val=8700, test=26
2025-10-27 02:17:10 INFO - Dataset sizes: train=14500, val=8700, test=26
2025-10-27 02:17:49 INFO - Dataset sizes: train=78300, val=8700, test=26
2025-10-27 11:42:03 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 12:05:54 INFO - Dataset sizes: train=78300, val=8700, test=26
2025-10-27 12:21:17 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 12:52:07 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 13:23:31 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:11:50 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:17:15 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:20:18 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:23:44 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:27:40 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:31:38 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:35:49 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 14:39:57 INFO - Dataset sizes: train=8700, val=8700, test=26
2025-10-27 19:25:40 INFO - Dataset sizes: train=8700, val=8700, test=26
